Source,Target,Weight
vlastimil-valek,miroslav-kalousek,3
tomio-okamura,david-rath,5
milos-vystrcil,jaromir-soukup,1
tomio-okamura,andrej-babis,119
tomio-okamura,tomas-petricek,9
petr-fiala,andrej-babis,85
tomio-okamura,ivan-david,67
tomio-okamura,milos-zeman,46
miroslav-kalousek,jan-zahradil,1
miroslav-kalousek,milos-zeman,8
tomio-okamura,martin-kolovratnik,4
jan-farsky,vit-rakusan,3
vladimir-kremlik,klara-dostalova,4
tomio-okamura,stanislav-polcak,6
tomio-okamura,vera-jourova,7
petr-fiala,milan-uhde,2
marketa-adamova,jaroslav-faltynek,1
vladimir-kremlik,jitka-volfova,1
milos-vystrcil,jiri-dienstbier,1
milos-vystrcil,jiri-ruzicka,1
tomio-okamura,jan-hrncir,31
marketa-adamova,michael-kocab,1
jakub-michalek,michal-hasek,1
zdenek-hrib,andrej-babis,6
zdenek-hrib,petr-hlubucek,6
tomio-okamura,lubomir-zaoralek,4
andrej-babis,alena-schillerova,23
tomio-okamura,jan-hamacek,58
tomio-okamura,jan-chvojka,3
jana-vildumetzova,jaroslav-bradac,2
jana-vildumetzova,milos-zeman,5
tomio-okamura,karel-schwarzenberg,13
tomio-okamura,mirek-topolanek,4
tomio-okamura,vaclav-havel,13
tomio-okamura,michal-hasek,2
tomio-okamura,miroslav-poche,6
tomio-okamura,vaclav-laska,2
milos-vystrcil,jaroslav-kubera,5
tomio-okamura,jaroslav-horak,25
tomio-okamura,milos-babis,7
tomio-okamura,petr-dvorak,16
tomio-okamura,ivan-bartos,12
martin-kupka,zdenek-zajicek,4
milos-zeman,tomas-jan-podivinsky,1
klara-dostalova,richard-brabec,1
miroslav-kalousek,andrej-babis,16
petr-hladik,jan-skacel,1
herbert-pavera,milos-zeman,2
herbert-pavera,vaclav-havel,1
herbert-pavera,vaclav-klaus,1
tomio-okamura,jan-maly,1
tomio-okamura,jaroslav-maly,1
tomio-okamura,josef-maly,1
tomio-okamura,milos-maly,1
tomio-okamura,radim-fiala,10
tomio-okamura,tatana-mala,1
radek-holomcik,jakub-michalek,1
tomio-okamura,jiri-kobza,7
miroslav-kalousek,karel-schwarzenberg,4
tomio-okamura,jan-birke,1
tomio-okamura,milan-chovanec,2
tomio-okamura,antonin-stanek,5
tomio-okamura,pavel-stanek,3
radek-vondracek,andrej-babis,3
adam-vojtech,vaclav-havel,1
petr-fiala,lubomir-zaoralek,1
alena-schillerova,jaromir-soukup,2
vlastimil-valek,katerina-valachova,1
tomio-okamura,tomas-zdechovsky,5
vladimir-kremlik,andrej-babis,9
vladimir-kremlik,richard-brabec,1
petr-fiala,jan-volny,1
petr-fiala,jaromir-volny,1
petr-fiala,lubomir-volny,1
andrej-babis,milan-hnilicka,6
miroslav-kalousek,mirek-topolanek,1
sarka-jelinkova,ivo-slavotinek,1
sarka-jelinkova,marek-vyborny,8
tomio-okamura,jan-bauer,3
tomio-okamura,jaroslav-bauer,3
tomio-okamura,lucie--safrankova,12
zdenek-hrib,jiri-pospisil,1
zdenek-hrib,miroslav-kalousek,1
zdenek-hrib,oliver-pospisil,1
vladimir-kremlik,vaclav-havel,3
tomas-czernin,emilie-triskova,1
tomas-czernin,milan-pour,1
adam-vojtech,andrej-babis,4
ondrej-kolar,ondrej-kolar,10
alexandra-udzenija,ivan-bartos,1
radek-vondracek,ladislav-oklestek,1
milos-zeman,andrej-babis,7
milos-zeman,ivan-david,1
milos-zeman,jan-zahradil,1
milos-zeman,jiri-paroubek,1
milos-zeman,olga-sehnalova,1
milos-zeman,pavel-svoboda,1
marek-vyborny,pavel-belobradek,1
tomio-okamura,jan-farsky,3
milos-vystrcil,dana-balcarova,1
tomas-czernin,miloslav-rozner,2
tomio-okamura,ondrej-kolar,8
herbert-pavera,andrej-babis,1
petr-fiala,ladislav-chlupac,1
miroslav-kalousek,milos-krcmar,1
tomio-okamura,jaromir-soukup,12
tomio-okamura,mikulas-ferjencik,2
tomio-okamura,miroslav-kalousek,14
radek-rozvoral,miloslav-rozner,1
petr-fiala,vaclav-klaus,2
petr-fiala,petr-necas,1
andrej-babis,jiri-cunek,3
jan-hamacek,miroslav-toman,1
miroslav-kalousek,jaromir-soukup,4
andrej-babis,jan-hamacek,7
andrej-babis,vaclav-havel,7
jakub-michalek,dominik-feri,1
jan-hamacek,lubomir-zaoralek,1
jan-hamacek,milos-zeman,1
radovan-vich,jiri-mihola,1
radovan-vich,pavel-jelinek,1
tomio-okamura,jan-cizinsky,1
tomio-okamura,jakub-janda,3
tomio-okamura,petr-kolar,1
jan-zahradil,stanislav-kovar,1
tomio-okamura,vaclav-klaus,15
andrej-babis,milos-zeman,6
tomio-okamura,vladimir-franz,3
tomio-okamura,benjamin-kuras,2
tomio-okamura,klara-samkova,3
tomio-okamura,martin-konvicka,1
herbert-pavera,miroslav-toman,1
alexandra-udzenija,petr-fiala,4
marek-vyborny,anna-hubackova,1
vlastimil-valek,ludek-niedermayer,2
radek-vondracek,jaroslav-kubera,4
petr-silar,marek-vyborny,4
marek-vyborny,andrej-babis,3
tomio-okamura,daniel-herman,5
tomio-okamura,miloslav-rozner,2
andrej-babis,richard-brabec,18
alena-schillerova,vaclav-havel,2
zdenek-hrib,jakub-kraus,1
zdenek-hrib,michal-kraus,1
zdenek-hrib,petr-kraus,1
andrej-babis,marie-benesova,8
andrej-babis,patrik-nacher,8
petr-fiala,milos-zeman,2
tomio-okamura,roman-pekarek,1
vlastimil-valek,marta-kubisova,2
marek-vyborny,jan-cizinsky,1
sarka-jelinkova,josef-lux,1
vladimir-kremlik,stanislav-blaha,1
milos-vystrcil,jan-jarolim,1
tomio-okamura,adam-vojtech,4
jan-bartosek,karel-urbanek,1
jan-bartosek,petr-urbanek,1
vladimir-kremlik,jan-klas,1
andrej-babis,miroslav-toman,8
ondrej-kolar,vaclav-havel,1
alena-schillerova,adam-vojtech,4
alena-schillerova,jana-malacova,1
alena-schillerova,marie-benesova,1
tomio-okamura,zdenek-podal,1
klara-dostalova,jaromir-soukup,2
tomio-okamura,monika-jarosova,2
ladislav-oklestek,klara-dostalova,2
tomio-okamura,petr-fiala,24
milos-zeman,miloslava-vostra,1
milos-zeman,vojtech-filip,1
adam-vojtech,martina-dlabajova,1
jan-hamacek,pavel-poc,5
radek-vondracek,jan-hamacek,1
jana-vildumetzova,klara-dostalova,3
jan-zahradil,miroslav-kalousek,1
tomio-okamura,dita-charanzova,11
tomio-okamura,jan-keller,3
tomio-okamura,jaromir-kohlicek,3
tomio-okamura,jaromir-stetina,5
tomio-okamura,jiri-mastalka,3
tomio-okamura,jiri-pospisil,4
tomio-okamura,katerina-konecna,7
